DateTime,x(m),y(m),z(m),vx(m/s),vy(m/s),vz(m/s)
2030-11-14 09:19:17.724014,-1894392.182953,-4223578.825499,-5571115.975925,776.280268,5752.861437,-4536.253160
2030-11-14 09:20:32.894166,-1830495.955990,-3779075.254935,-5895257.862010,922.967547,6067.997429,-4083.565507
2030-11-14 09:21:47.933323,-1755902.434710,-3313031.829698,-6183938.373534,1064.223765,6347.320284,-3606.605225
2030-11-14 09:23:02.817452,-1671114.968907,-2828426.441810,-6435488.379012,1199.211693,6589.216424,-3108.277219
2030-11-14 09:24:17.517890,-1576711.284779,-2328381.600520,-6648494.610034,1327.129037,6792.307999,-2591.651935
2030-11-14 09:25:31.995324,-1473350.068812,-1816184.729600,-6821809.597943,1447.207158,6955.463644,-2059.992155
2030-11-14 09:26:46.194928,-1361778.652399,-1295301.243887,-6954581.272493,1558.715883,7077.829663,-1516.773469
2030-11-14 09:28:00.031023,-1242859.035864,-769457.758967,-7046287.016633,1660.958990,7158.868216,-965.779387
2030-11-14 09:29:13.333006,-1117667.420635,-242997.795550,-7096800.220687,1753.236571,7198.435347,-411.487170
2030-11-14 09:30:26.048518,-987142.753181,280633.299741,-7106595.123320,1835.125659,7196.959805,142.518740
2030-11-14 09:31:41.037133,-846691.895422,818934.742008,-7074442.038558,1908.959008,7152.677002,714.936109
2030-11-14 09:32:55.498266,-702164.411836,1348558.486593,-7000104.055704,1971.104513,7065.697804,1281.106843
2030-11-14 09:34:09.826947,-553705.741765,1869196.742446,-6884039.092950,2021.592256,6936.327969,1840.705875
2030-11-14 09:35:23.961482,-402335.263990,2377338.921894,-6727154.823924,2060.072003,6765.397664,2389.956777
2030-11-14 09:36:37.905980,-248958.318197,2870033.444120,-6530540.401729,2086.319688,6553.913010,2925.634406
2030-11-14 09:37:51.656876,-94503.060282,3344384.228030,-6295533.429036,2100.178859,6303.140608,3444.527183
2030-11-14 09:39:05.212524,60104.578043,3797634.600131,-6023693.711212,2101.568498,6014.584454,3943.529069
2030-11-14 09:40:18.572649,213945.611274,4227178.622321,-5716790.639302,2090.483249,5689.977986,4419.654677
2030-11-14 09:41:31.738040,366112.969599,4630573.086347,-5376790.031643,2066.993622,5331.275091,4870.056031
2030-11-14 09:42:44.710577,515716.959067,5005550.352893,-5005839.098959,2031.245833,4940.638543,5292.041196
2030-11-14 09:43:57.493873,661891.687268,5350032.437001,-4606247.018849,1983.460643,4520.423104,5683.095223
2030-11-14 09:45:10.090087,803793.645344,5662126.337947,-4180486.487737,1923.934470,4073.179815,6040.880447
2030-11-14 09:46:22.503707,940614.129031,5940151.667902,-3731156.902746,1853.035614,3601.618983,6363.273941
2030-11-14 09:47:34.737463,1071575.965484,6182631.946686,-3260991.546710,1771.205781,3108.618401,6648.363906
2030-11-14 09:48:46.795507,1195944.130773,6388315.276929,-2772821.107887,1678.954828,2597.184652,6894.479998
2030-11-14 09:49:58.676825,1313019.055835,6556163.800555,-2269600.758215,1576.866541,2070.479966,7100.186729
